 24 -1.3862943611198906 {da7aa0eafa0af8fe09f370a1e502767c,13fdecdd67908944914f0dc7655cb079,a94d0a41a0726663b117bf2886aada34,c50a7d7e8aee842c8290f4443c45c2a5,4a554b88320fe60ec46ef9d8b407a94e,776c949bbe02abc97b887f3cd921ec91,}
last 2 -0.6931471805599453 {13b362449b10dcbe6c93fae705764c28,}
test 4 -0.6931471805599453 {540cd77abefe37a48f3c7640d46ee897,00ccc065c065fcf583880a46e2603891,}
gather 2 -0.6931471805599453 {c2a6c54a31681cfd555897e0e6f5916e,}
practis 2 -0.6931471805599453 {f25efce6bdae42ff938c88ccb10fe2d1,}
warm 4 -0.6931471805599453 {f1eda0d27ff74a7258b73700f9120f94,a6dfc4b5afc3f7e7b64720e7c4f26752,}
albion 2 -0.6931471805599453 {7e86c9d1ac1541f48e32ce2ddc81392c,}
final 2 -0.6931471805599453 {540cd77abefe37a48f3c7640d46ee897,}
ballanc 2 -0.6931471805599453 {b23dc44babe2734d1f7e7a698d83e594,}
lancast 2 -0.6931471805599453 {d8e8ef2e1f1b7af67aa79bec9924fbfe,}
bolt 2 -0.6931471805599453 {a6dfc4b5afc3f7e7b64720e7c4f26752,}
gard 2 -0.6931471805599453 {b2c2b6f7e5f387f2c3c58c1442dbeec1,}
party 2 -0.6931471805599453 {80018d3988d37a96375d6f620ad68bf1,}
outfoxed 2 -0.6931471805599453 {752b8542402a0106a24dd1bc36946a0a,}
fluff 2 -0.6931471805599453 {27a12ebcebacaa2521aa38c3db8244f5,}
lunchtim 2 -0.6931471805599453 {d4f6a813c68303fcbb1c6259e8a4669c,}
lucky 2 -0.6931471805599453 {13b362449b10dcbe6c93fae705764c28,}
coleman 2 -0.6931471805599453 {21864981a37c6664e201f47d4d1a702b,}
euro 4 -0.6931471805599453 {75a1937faf0808e50acaf4c00c3acf66,b11d8ebe8e64c8c6ec61db990640a546,}
olympic 2 -0.6931471805599453 {a6dfc4b5afc3f7e7b64720e7c4f26752,}
nod 2 -0.6931471805599453 {1483298f2a480c90e9172daeecadd0a2,}
billy 2 -0.6931471805599453 {13b362449b10dcbe6c93fae705764c28,}
united 2 -0.6931471805599453 {13b362449b10dcbe6c93fae705764c28,}
ranger 2 -0.6931471805599453 {4a554b88320fe60ec46ef9d8b407a94e,}
show 2 -0.6931471805599453 {da7aa0eafa0af8fe09f370a1e502767c,}
psl 2 -0.6931471805599453 {a65e7cc47deef437b5a488ca23b94514,}
gam 6 -0.6931471805599453 {75a1937faf0808e50acaf4c00c3acf66,8ea8888f290327430a10e16c803f8aea,a6dfc4b5afc3f7e7b64720e7c4f26752,}
defenc 2 -0.6931471805599453 {776c949bbe02abc97b887f3cd921ec91,}
podcast 2 -0.6931471805599453 {75a1937faf0808e50acaf4c00c3acf66,}
root 2 -0.6931471805599453 {d4f6a813c68303fcbb1c6259e8a4669c,}
marginal 4 -0.6931471805599453 {efa3299b77b23f2d3a8ac18a03df23fe,a94d0a41a0726663b117bf2886aada34,}
end 2 -0.6931471805599453 {13b362449b10dcbe6c93fae705764c28,}
bath 2 -0.6931471805599453 {f586fbc827d29c29fa1811c888cda09f,}
settl 2 -0.6931471805599453 {d4f6a813c68303fcbb1c6259e8a4669c,}
wal 2 -0.6931471805599453 {75a1937faf0808e50acaf4c00c3acf66,}
floyd 2 -0.6931471805599453 {3ed9900e88649c37a08dc45d6fcd2f4f,}
europ 2 -0.6931471805599453 {de651deb380cec460a13d2d454d5e452,}
2022 2 -0.6931471805599453 {ec02e13dc31c98db8911a5efc197a943,}
bournemouth 2 -0.6931471805599453 {8468b93222067154f790478b24dd614b,}
2020 2 -0.6931471805599453 {b11d8ebe8e64c8c6ec61db990640a546,}
barcelon 2 -0.6931471805599453 {85daa8de85208a1f00f4ee99a9bb324d,}
bond 4 -0.6931471805599453 {0d13d8409ac64264660c7d89f8338bb9,509f8c8fd617437b1c1185f4446b1ba6,}
2016 2 -0.6931471805599453 {75a1937faf0808e50acaf4c00c3acf66,}
form 2 -0.6931471805599453 {27a12ebcebacaa2521aa38c3db8244f5,}
lovren 2 -0.6931471805599453 {62cf689a8c9ed705ff1b34023a75c18b,}
gustard 2 -0.6931471805599453 {776c949bbe02abc97b887f3cd921ec91,}
wolfpack 2 -0.6931471805599453 {776c949bbe02abc97b887f3cd921ec91,}
succeed 2 -0.6931471805599453 {f516badd6af6875b9c75add9d14b187e,}
ryd 4 -0.6931471805599453 {1483298f2a480c90e9172daeecadd0a2,ec02e13dc31c98db8911a5efc197a943,}
anthony 2 -0.6931471805599453 {7e86c9d1ac1541f48e32ce2ddc81392c,}
pietersen 2 -0.6931471805599453 {a65e7cc47deef437b5a488ca23b94514,}
play 2 -0.6931471805599453 {dc3d447a576147a470a56b3018b8effd,}
outclassed 2 -0.6931471805599453 {752b8542402a0106a24dd1bc36946a0a,}
luton 2 -0.6931471805599453 {e0cc4d39d3b5b9ae53a9fcfd9fd2640c,}
funnel 2 -0.6931471805599453 {26b9b1544474525e7de17688d2237802,}
fac 2 -0.6931471805599453 {85daa8de85208a1f00f4ee99a9bb324d,}
spac 2 -0.6931471805599453 {efa3299b77b23f2d3a8ac18a03df23fe,}
shak 2 -0.6931471805599453 {c2a6c54a31681cfd555897e0e6f5916e,}
liverpool 2 -0.6931471805599453 {62cf689a8c9ed705ff1b34023a75c18b,}
approach 2 -0.6931471805599453 {3ed9900e88649c37a08dc45d6fcd2f4f,}
